SEMANTIC INDISCERNABILITY TEST FOR data/proton
http://proton.semanticweb.org/2005/04/protonu#ReligiousLocation is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Monument
http://proton.semanticweb.org/2005/04/protonu#ReligiousLocation is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Reserve
http://proton.semanticweb.org/2005/04/protonu#Minister is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#CEO
http://proton.semanticweb.org/2005/04/protonu#Spring is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#River
http://proton.semanticweb.org/2005/04/protonu#DayOfWeek is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#DayTime
http://proton.semanticweb.org/2005/04/protonu#DayOfWeek is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Season
http://proton.semanticweb.org/2005/04/protonu#DayOfWeek is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#CalendarMonth
http://proton.semanticweb.org/2005/04/protonu#DayOfWeek is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Festival
http://proton.semanticweb.org/2005/04/protonu#DayOfWeek is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#TimeZone
http://proton.semanticweb.org/2005/04/protonu#LaunchFacility is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#Bridge
http://proton.semanticweb.org/2005/04/protonu#OlympicGames is third-grade indiscernible from http://proton.semanticweb.org/2005/04/protonu#SportGame
